Treatment,Mom,Ind,Weight,Develpomental_Stage,Sex,TBP,RPLP,11bHSD1,11bHSD2,PLII,Phlda2,Tpbpa,GR,IGF2,IGF2-R,log11bHSD1,log11bHSD2,logPLII,logPhlda2,logTpbpa,logGR
Stress,126,C,0.1767,,F,1.672422495,1.277377313,0.536002785,1.335513526,0.623975264,1.277377313,0.636739494,1.091642477,,,-0.270832954,0.125648291,-0.204832627,0.106319199,-0.196038212,0.038080426
Stress,126,D,0.1618,,M,1.133098034,1.307234592,0.577467797,1.281850419,0.440453232,1.307234592,0.554634202,0.947589272,,,-0.23847223,0.10783735,-0.356100199,0.116353532,-0.255993353,-0.023379865
Stress,126,E,0.1574,,M,1.248566521,1.289237507,0.380986663,1.043594506,0.708936056,1.289237507,0.83101235,0.752102104,,,-0.419090227,0.018531784,-0.149392935,0.110332932,-0.080392522,-0.123723196
Stress,126,F,0.1895,,F,0.641093204,1.15924438,0.562001441,0.733258903,0.814824206,1.15924438,1.082055994,0.668114421,,,-0.250262571,-0.134742655,-0.088936078,0.064174999,0.034249735,-0.175149154
Stress,126,G,0.1685,,F,0.616400251,1.009180848,0.66218783,0.893410173,0.974608072,1.009180848,1.805137196,0.726063233,,,-0.179018805,-0.048949107,-0.011169996,0.003969,0.256510215,-0.139025555
Stress,126,H,0.1803,,M,0.550420466,1.020906965,0.727143697,0.901705309,0.838700378,1.020906965,0.938725436,0.61054397,,,-0.138379756,-0.044935373,-0.076393161,0.008986167,-0.027461414,-0.214283054
Stress,126,I,,,F,1.123971941,1.268553823,0.430866369,0.82495915,1.123417419,1.268553823,1.366458669,0.718553312,,,-0.365657403,-0.083567556,0.050541153,0.103308898,0.1355965,-0.143541004
Stress,127,A,0.142,,F,1.30309237,1.394600012,0.286573888,1.3541566,0.446343837,1.394600012,0.811563089,0.772800056,,,-0.542763384,0.131668891,-0.350330457,0.144449665,-0.090677713,-0.111932855
Stress,127,B,0.1327,,M,1.177129208,1.460556396,0.233848444,1.088540125,0.544458532,1.460556396,0.572537392,0.951428472,,,-0.631065515,0.036844442,-0.264035192,0.164518331,-0.242196145,-0.021623856
Stress,127,C,0.1436,,M,,,,,,,,,,,,,,,,
Stress,127,D,0.1502,,M,0.78201744,1.216878166,0.250632556,1.170718798,0.60972365,1.216878166,2.059235015,0.789950287,,,-0.600962517,0.068452592,-0.214866959,0.085247099,0.313705914,-0.102400239
Stress,127,E,,,F,0.676083192,1.119756261,0.330329808,0.943260344,0.694747549,1.119756261,0.987675131,0.814037468,,,-0.481052235,-0.025368424,-0.158172977,0.049123499,-0.005385881,-0.089355605
Stress,127,F,0.1556,,M,0.699925215,1.170007734,0.440428297,0.740067066,1.610930303,1.170007734,3.395855702,0.489653727,,,-0.356124786,-0.130728922,0.207076751,0.068188733,0.530949228,-0.310110936
Stress,127,G,0.1712,,M,0.588564604,1.138013811,0.583166223,0.747801837,0.495249495,1.138013811,0.842126279,0.494771317,,,-0.234207638,-0.126213472,-0.305175959,0.056147533,-0.07462278,-0.305595485
Control,130,A,0.2256,,M,1.15024354,0.959165318,0.833341116,0.816426314,0.990498991,0.959165318,1.24152085,1.082850271,,,-0.07917719,-0.088083006,-0.004145963,-0.018106533,0.093954017,0.03456841
Control,130,B,0.1906,,F,0.512375247,0.616932576,0.704812981,0.813601694,0.482263683,0.616932576,0.362765331,1.228161631,,,-0.151926106,-0.089588156,-0.316715442,-0.209762297,-0.440374225,0.089255525
