Treatment,Mom,Ind,Weight,Develpomental_Stage,Sex,TBP,RPLP,11bHSD1,11bHSD2,PLII,Phlda2,Tpbpa,GR,IGF2,IGF2-R,log11bHSD1,log11bHSD2,logPLII,logPhlda2,logTpbpa,logGR
Stress,127,D,0.1502,,M,1.437686561,1.239601583,0.6643,1.039505186,0.723263914,0.503864154,0.759839807,0.965632089,,,-0.177635748,0.01682666,-0.140703203,-0.297686537,-0.119277958,-0.015188311
Stress,127,E,,,F,1.662955058,1.685538797,0.5383,2.866380808,0.901830002,2.833869639,0.636000821,1.365609997,,,-0.26897562,0.457333887,-0.044875321,0.452379868,-0.196542324,0.135326687
Stress,127,F,0.1556,,M,0.922582083,0.864463228,1.8401,0.411575865,1.321882623,0.299945729,1.011923714,1.428544051,,,0.264841425,-0.3855501,0.121192894,-0.522957318,0.005147774,0.154893637
Stress,127,G,0.1712,,M,1.467895412,1.112040889,0.5309,1.331048945,0.635483869,0.666390649,0.853877214,1.004315247,,,-0.274987275,0.124194026,-0.196895469,-0.176271106,-0.068604576,0.001870056
Control,130,A,0.2256,,M,1.313803195,0.8624682,1.1822,0.357883918,0.827937677,0.144696981,0.402976384,1.323671864,,,0.072690955,-0.446257817,-0.082002353,-0.83954053,-0.394720404,0.121780338
Control,130,B,0.1906,,F,1.73357371,1.035176307,0.7755,1.183093113,0.894566566,0.84057011,1.189564803,1.417038404,,,-0.110418198,0.073018926,-0.048387337,-0.075426057,0.075388106,0.15138162
Control,130,C,0.2079,,F,0.552386199,0.504599204,1.8897,0.314448783,1.382801504,0.156522294,1.264675452,0.739460774,,,0.276392863,-0.502450082,0.140759843,-0.805423796,0.101979089,-0.131084859
Control,130,D,0.2143,,M,0.165367677,0.622671507,1.9451,1.593902766,1.557530856,0.386294594,2.100064832,0.563652875,,,0.288941934,0.202461824,0.192436659,-0.41308137,0.322232702,-0.248988273
Control,130,E,0.1734,,F,1.745631668,1.844474489,0.7294,0.881213574,0.693000074,0.387188156,1.380732523,0.89164759,,,-0.137034241,-0.054918822,-0.159266719,-0.412077936,0.140109555,-0.04980676
Control,130,F,0.1997,,F,1.452712466,1.18089157,0.5908,1.800499197,0.573061049,0.922490991,1.136502244,1.257343515,,,-0.228559513,0.255392932,-0.24179911,-0.035037866,0.055570298,0.099453946
Control,130,G,0.1988,,F,0.656901598,0.333681398,0.8093,0.878164806,0.730823068,0.631902288,1.015436858,1.663873236,,,-0.09189046,-0.056423972,-0.136187753,-0.199350072,0.006652923,0.221120236
Control,130,H,0.1986,,M,0.773111916,0.922237245,0.7573,0.638045091,0.800197159,0.154100138,0.576183612,0.723824673,,,-0.120732043,-0.195148628,-0.096802995,-0.812196972,-0.239439098,-0.140366617
Control,130,I,0.1862,,F,0.379915158,0.75954631,1.3209,0.899729744,1.223426483,0.656457444,1.48668658,0.724242892,,,0.12086994,-0.045887922,0.087577877,-0.182793423,0.172219421,-0.140115758
Control,136,A,0.1762,23,M,0.988798993,0.977076325,0.9137,1.381175794,0.808093468,0.89571193,0.993391196,1.177896022,,,-0.039196375,0.140248958,-0.092538404,-0.047831641,-0.002879693,0.071106955
Control,136,B,0.1713,23,F,0.66147071,0.808438445,1.0138,1.001778547,1.473513976,0.79706727,1.434386551,0.825236111,,,0.005952287,0.000771727,0.168354259,-0.098505024,0.156666205,-0.083421776
Control,136,C,,22,M,0.860799521,1.569033877,1.2453,0.700228145,1.006439705,0.773482234,1.310787542,0.642994748,,,0.095273988,-0.154760437,0.002787762,-0.111549657,0.117532305,-0.191792574
Control,136,D,0.1406,,F,1.697897278,1.231039029,0.4971,1.326443865,0.872117289,0.654186274,1.459459186,1.028978039,,,-0.303556237,0.122688875,-0.059425104,-0.184298572,0.164191954,0.012406106
Control,136,E,0.1577,22,F,0.878886748,1.271510318,0.7604,1.263620828,0.618821007,1.876147681,0.951824305,0.871282331,,,-0.118957892,0.101616776,-0.208434952,0.273267021,-0.02144321,-0.059841093
Control,136,F,0.1613,22,F,0.7040497,0.983872428,1.3102,0.660927359,1.129690373,0.370986877,1.484970084,0.730123384,,,0.117337595,-0.17984627,0.052959428,-0.430641453,0.171717705,-0.136603742
Stress,137,A,,23,F,0.872815834,1.035176307,1.6413,0.16523184,1.663544829,0.330511733,1.75576594,1.090164257,,,0.215187969,-0.781906261,0.221034509,-0.480813119,0.24446662,0.037491939
Stress,137,B,0.2733,23,F,1.131902098,0.981601824,0.7547,0.32837062,1.222720008,0.422475639,1.000878742,1.125353969,,,-0.12222565,-0.483635707,0.087327019,-0.374198328,0.000381465,0.051289147
Stress,137,C,0.2918,23,M,1.167764355,1.018568614,0.9001,0.132821778,1.149437013,0.473391835,1.664898085,1.226498547,,,-0.045709238,-0.87673071,0.060485178,-0.324779237,0.221387654,0.088667038
Stress,137,D,0.2612,23,F,1.398372947,1.089155418,0.7128,0.425598102,1.049178933,3.381757931,0.917279858,1.438480361,,,-0.147032309,-0.371000317,0.020849562,0.529142517,-0.037498143,0.157903937
Stress,137,E,0.2687,22,F,0.922582083,0.791801022,0.8674,0.163901045,1.461646136,0.152594344,1.346082841,0.968984521,,,-0.061780582,-0.785418277,0.164842243,-0.816461563,0.129071788,-0.013683161
Stress,137,F,0.2721,23,F,1.398372947,1.066740924,1.174,0.219287724,0.991437737,0.18485168,1.108621737,1.110502154,,,0.069668097,-0.65898568,-0.003734555,-0.733176598,0.04478339,0.045519405
Stress,137,G,0.2522,23,F,1.108607889,1.002227365,1.198,0.315722786,1.004697188,0.248894581,0.965668909,1.43433186,,,0.078456818,-0.500694074,0.002035187,-0.603984559,-0.015171751,0.156649645
Stress,137,H,0.3013,23,M,1.059768521,0.874507807,0.7353,0.319206873,0.748769761,1.173735005,0.823838736,1.29493426,,,-0.133535434,-0.495927766,-0.125651703,0.069570057,-0.084157792,0.112247721
Stress,139,A,0.1886,22,F,1.159698017,0.909540532,1.2239,0.710823667,1.082420257,0.471209347,1.975339368,0.962291256,,,0.087745935,-0.148238121,0.034395911,-0.326786103,0.295641719,-0.01669346
Stress,139,B,0.153,22,F,0.596150783,0.723572677,1.0557,1.237615888,0.853183169,0.706016299,1.375955552,0.946852884,,,0.023540522,0.092585876,-0.068957721,-0.151185273,0.138604405,-0.023717494
Stress,139,C,0.146,22,F,0.445577775,0.812182869,1.2057,2.08381946,1.058920351,1.362358815,1.544457887,0.681229205,,,0.081239261,0.318860089,0.024863295,0.134291506,0.188776071,-0.166706742
Stress,139,D,0.1663,23,M,1.0379588,1.147273879,1.091,0.724503027,0.912835884,0.406672703,0.7101852,0.849908159,,,0.037824751,-0.139959796,-0.039607296,-0.390754978,-0.148628382,-0.070628002
Stress,139,E,0.1782,23,F,1.322941419,1.013872686,1.001,0.608880194,1.047967574,0.236695917,1.078306417,1.082633942,,,0.000434077,-0.215468153,0.020347845,-0.625809234,0.03274219,0.034481639
Stress,139,F,0.1266,21,F,1.260284265,1.09926801,0.9714,2.869694095,0.562890971,3.848883653,0.606578892,1.296431091,,,-0.012601901,0.457835604,-0.249575718,0.585334783,-0.217112707,0.112749438
Stress,139,G,0.156,22,F,1.030789095,0.939442327,1.2818,0.315905207,0.973280402,0.23451846,1.017785728,1.379882597,,,0.107820267,-0.500443216,-0.011762022,-0.629822966,0.007656357,0.139842137
Stress,139,H,0.1416,22,F,1.120194445,0.995304475,1.1459,0.907035102,0.548131548,0.502120916,0.141980746,0.928438889,,,0.059146719,-0.042375906,-0.261115201,-0.299191688,-0.847770546,-0.032246677
Stress,147,A,0.0331,15,F,0.848948639,2.051306639,1.2583,0.588139499,0.360380805,1.876147681,0.172193255,0.509756036,,,0.099784197,-0.230519653,-0.443238349,0.273267021,-0.763983864,-0.292637623
Stress,147,B,,14,F,0.759830316,0.988429405,1.4124,0.666293761,0.667849104,5.300420167,0.168260355,0.744604131,,,0.149957709,-0.176334253,-0.175321652,0.724310298,-0.774018199,-0.128074559
Stress,147,C,0.0462,15,M,2.040254578,2.270814463,1.1075,0.527312569,0.300081734,3.120852257,0.255477333,0.656884756,,,0.044343735,-0.277931877,-0.522760439,0.494273209,-0.592647626,-0.182510816
Stress,147,D,0.0308,15,F,0.444036193,1.002227365,1.9372,0.705506015,0.478556359,3.117248989,0.178987888,0.628671757,,,0.28717446,-0.151499279,-0.320066909,0.493771493,-0.747176356,-0.20157605
Stress,147,E,0.0381,15,F,1.184065738,1.693345664,0.7362,0.826009506,0.544345327,7.969228483,0.607982007,0.71924018,,,-0.133004187,-0.083014955,-0.264125501,0.901416279,-0.216109273,-0.143126059
Stress,147,F,,15,M,1.427755735,1.927249253,0.8674,0.788708241,0.644354894,4.651749453,0.772228943,0.69957252,,,-0.061780582,-0.103083621,-0.190874869,0.667616315,-0.112253925,-0.155167258
Stress,148,A,0.1386,23,F,1.089562669,1.264186957,0.775,1.204468744,0.800197159,0.921425903,0.860313193,0.734777247,,,-0.110698297,0.080795535,-0.096802995,-0.035539583,-0.065343417,-0.1338443
Stress,148,B,0.1417,23,M,1.009575762,1.427222075,1.9813,0.828877203,0.866093135,0.588904959,2.199385556,0.733505078,,,0.29695024,-0.081509805,-0.062435404,-0.229954789,0.342301369,-0.134596875
Stress,148,C,0.1385,22,M,0.2640255,0.510462364,2.7428,1.607772882,1.050998598,1.03068732,0.771783015,0.547923173,,,0.438194141,0.206224699,0.021602137,0.013126933,-0.112504783,-0.261280332
Stress,148,D,0.1091,22,NA,0.18221949,0.397734193,3.8277,1.801539506,1.172234127,1.940067337,0.697581588,0.580839789,,,0.582937892,0.25564379,0.069014361,0.287816804,-0.156404991,-0.235943641
Stress,148,E,0.1364,23,M,1.807191236,1.106914023,1.1433,2.619388931,0.477176228,3.108259009,0.740771517,1.26535792,,,0.058160203,0.418199988,-0.3213212,0.492517201,-0.130315725,0.102213388
Stress,148,F,0.1238,23,F,1.721599041,1.609422569,1.2833,1.673146326,0.412060309,3.281692497,0.59891944,0.915656796,,,0.108328194,0.223533924,-0.385039216,0.516097884,-0.22263159,-0.038267277
Stress,148,G,0.125,22,F,1.08203651,1.172734556,1.542,2.267176887,0.724099944,4.231316867,0.4775644,1.389480439,,,0.188084374,0.355485405,-0.140201486,0.626475549,-0.320968055,0.142852437
Stress,148,H,0.1172,23,F,0.666071602,1.208493602,1.0033,1.633043954,0.724099944,2.369265803,0.4731711,0.748052895,,,0.001430812,0.212997874,-0.140201486,0.374613786,-0.324981789,-0.126067692
Stress,148,I,0.1471,23,F,1.745631668,1.693345664,1.1686,0.637676648,0.724099944,0.463649572,0.577850101,0.749783262,,,0.067665882,-0.195399487,-0.140201486,-0.333810137,-0.238184806,-0.125064259
Control,149,A,0.1643,23,F,0.814365969,0.775505993,1.5927,0.847271917,1.136234603,0.722518647,0.908841446,0.818589571,,,0.20213398,-0.071977188,0.055468011,-0.14115094,-0.041511876,-0.086933793
Control,149,B,0.183,23,F,1.016597917,1.018568614,1.3754,0.377852993,0.978918558,0.291406856,1.90364861,0.941399413,,,0.13842902,-0.422677133,-0.009253438,-0.535500235,0.279586786,-0.026226077
Control,149,C,,23,F,1.208945476,1.569033877,0.9503,0.667063938,0.963213429,1.509886454,0.845045269,1.124704126,,,-0.022139271,-0.175832537,-0.016277471,0.178944289,-0.073120025,0.051038288
Control,149,D,0.1985,23,F,0.770437152,0.840824436,1.0544,0.95433231,1.335698208,1.381376636,2.126922108,1.579584947,,,0.023005397,-0.020300372,0.125708343,0.140312106,0.327751585,0.198542986
Control,149,E,0.2118,23,M,1.0379588,1.5051179,0.985,1.016936988,1.392419649,1.287381874,1.6344069,0.907233315,,,-0.00656377,0.007294044,0.143770143,0.10970739,0.213360187,-0.04228101
Control,149,F1,0.1917,23,F,1.870921697,1.378605652,0.3996,2.530162928,1.275380219,3.432929098,0.94415821,1.194338837,,,-0.39837452,0.403148488,0.105639677,0.535664834,-0.024955226,0.077127555
Control,149,F2,,,F,1.573251349,0.986148284,0.5816,1.886741737,0.960990502,6.525582677,0.866797682,1.639071578,,,-0.235375602,0.275712457,-0.017280905,0.814619296,-0.062082259,0.21459792
Control,149,G,0.1791,23,M,1.519660632,1.658497114,0.7119,0.784165616,1.176303829,0.412587893,0.745062763,1.015984828,,,-0.147581007,-0.105592205,0.070519511,-0.38448352,-0.127807141,0.006887223
Control,149,H,0.1835,23,F,0.723843231,0.728605523,1.0866,0.987986766,1.013440047,1.326636748,0.406248352,1.008966908,,,0.036069701,-0.005248873,0.005798062,0.122752023,-0.391208388,0.003876923
Stress,154,A,0.084,19,M,1.175886798,1.453848059,0.6837,2.957196865,0.296463708,12.34715478,0.333039961,0.794367695,,,-0.16513442,0.470880237,-0.528028464,1.091566892,-0.477503653,-0.099978426
Stress,154,B,0.0555,18,F,0.814365969,1.576301131,1.4826,0.727438383,0.772493167,21.4976451,0.634533043,0.682016647,,,0.171023996,-0.138203787,-0.112105353,1.332390889,-0.197545757,-0.166205025
Stress,154,C,0.0907,20,F,0.968449804,1.594616868,1.4189,1.495778919,1.045549049,10.87371785,0.419119592,0.920961142,,,0.151951789,0.174867408,0.019344411,1.03637806,-0.377662037,-0.035758694
Stress,154,D,0.0751,19,M,2.255972028,1.840217768,0.7227,2.407546432,0.493433445,10.81108985,1.401625117,1.147010707,,,-0.141041945,0.381574672,-0.306771417,1.033869477,0.146631871,0.059567472
Stress,154,E,0.0691,19,F,2.047337829,1.70118869,0.8604,2.207729813,0.606786437,11.06378709,1.075817876,0.859287129,,,-0.065299598,0.343945922,-0.216964135,1.04390381,0.031738756,-0.065861693
